,index,Agent Id,Call_Count,Leads_Converted,Calls_Connected,Avg_Agent_Duratio,Conversion Rate,Efficiency Score
0,0,1,4,0,2,26.75,0,0
1,1,779,27,4,11,21.48148148,0.363636364,1.692789969
2,2,1656,1,0,0,4,0,0
3,3,2707,104,15,15,12.23076923,1,8.176100629
4,4,2714,2453,374,916,35.48512026,0.408296943,1.150614512
5,5,2728,4134,699,1553,37.16328012,0.450096587,1.211132564
6,6,2771,4372,685,1491,36.52973468,0.459423206,1.257669156
7,7,2772,2930,315,998,30.63720137,0.315631263,1.030222241
8,8,2778,659,99,238,45.04855842,0.415966387,0.923373358
9,9,2780,999,117,201,22.38038038,0.582089552,2.600892131
10,10,2783,1147,142,434,46.93199651,0.32718894,0.697155383
11,11,2784,57,5,20,35.50877193,0.25,0.704051383
12,12,2787,572,69,215,37.69405594,0.320930233,0.851408066
13,13,2790,750,97,247,35.13333333,0.392712551,1.117777658
14,14,2791,668,69,224,37.18862275,0.308035714,0.828306325
15,15,2793,704,97,259,43.64346591,0.374517375,0.858129314
16,16,2795,65,14,24,38.67692308,0.583333333,1.508220631
17,17,2796,1304,253,470,38.80138037,0.538297872,1.387316295
18,18,2797,44,8,13,45.18181818,0.615384615,1.362018263
19,19,2798,386,31,132,39.00777202,0.234848485,0.602055623
20,20,2799,2128,248,629,30.55545113,0.39427663,1.290364289
21,21,2803,533,46,130,37.46904315,0.353846154,0.944369336
22,22,2804,582,64,232,45.13573883,0.275862069,0.611183236
